Time : 2022-03-15 17:21:21, Label : 0, Word : NONE, Percentage = 98.84%, RunTime : 0.0766sec
Time : 2022-03-15 17:22:04, Label : 0, Word : NONE, Percentage = 82.63%, RunTime : 0.1872sec
Time : 2022-03-15 17:22:08, Label : 20, Word : VOLUME_DOWN, Percentage = 99.99%, RunTime : 0.1007sec
Time : 2022-03-15 17:22:14, Label : 20, Word : VOLUME_DOWN, Percentage = 99.99%, RunTime : 0.0867sec
Time : 2022-03-15 17:22:18, Label : 20, Word : VOLUME_DOWN, Percentage = 100.00%, RunTime : 0.1046sec
Time : 2022-03-15 17:22:27, Label : 8, Word : VOICE_COMMANDS, Percentage = 70.00%, RunTime : 0.0856sec
Time : 2022-03-15 17:22:45, Label : 0, Word : NONE, Percentage = 84.74%, RunTime : 0.1545sec
Time : 2022-03-15 17:22:50, Label : 20, Word : VOLUME_DOWN, Percentage = 100.00%, RunTime : 0.0905sec
Time : 2022-03-15 17:22:56, Label : 8, Word : VOICE_COMMANDS, Percentage = 100.00%, RunTime : 0.0872sec
Time : 2022-03-15 17:23:02, Label : 4, Word : HOME, Percentage = 87.27%, RunTime : 0.0728sec
Time : 2022-03-15 17:23:31, Label : 1, Word : CHOICE, Percentage = 100.00%, RunTime : 0.1084sec
Time : 2022-03-15 17:23:39, Label : 0, Word : NONE, Percentage = 79.94%, RunTime : 0.0927sec
Time : 2022-03-15 17:23:46, Label : 3, Word : CLOSE, Percentage = 100.00%, RunTime : 0.0834sec
Time : 2022-03-15 17:23:51, Label : 10, Word : RECORD, Percentage = 100.00%, RunTime : 0.1034sec
Time : 2022-03-15 17:23:58, Label : 3, Word : CLOSE, Percentage = 68.58%, RunTime : 0.1168sec
Time : 2022-03-15 17:24:05, Label : 17, Word : REWIND, Percentage = 100.00%, RunTime : 0.0726sec
Time : 2022-03-15 17:24:12, Label : 19, Word : INITIAL_POSITION, Percentage = 100.00%, RunTime : 0.1406sec
Time : 2022-03-15 17:26:03, Label : 5, Word : END, Percentage = 98.91%, RunTime : 0.1465sec
Time : 2022-03-15 17:26:07, Label : 0, Word : NONE, Percentage = 45.89%, RunTime : 0.0764sec
Time : 2022-03-15 17:26:12, Label : 30, Word : ACCEPT, Percentage = 41.34%, RunTime : 0.0750sec
Time : 2022-03-15 17:26:16, Label : 9, Word : PICTURE, Percentage = 99.99%, RunTime : 0.0940sec
Time : 2022-03-15 17:26:22, Label : 16, Word : PLAY, Percentage = 98.26%, RunTime : 0.1020sec
Time : 2022-03-15 17:26:26, Label : 0, Word : NONE, Percentage = 46.47%, RunTime : 0.1038sec
Time : 2022-03-15 17:26:30, Label : 16, Word : PLAY, Percentage = 100.00%, RunTime : 0.1083sec
Time : 2022-03-15 17:26:36, Label : 3, Word : CLOSE, Percentage = 92.90%, RunTime : 0.1184sec
Time : 2022-03-15 17:26:39, Label : 4, Word : HOME, Percentage = 71.11%, RunTime : 0.0891sec
Time : 2022-03-15 17:26:42, Label : 0, Word : NONE, Percentage = 55.32%, RunTime : 0.1077sec
Time : 2022-03-15 17:26:45, Label : 27, Word : SHOW_ALL_WINDOWS, Percentage = 97.20%, RunTime : 0.0932sec
Time : 2022-03-15 17:26:48, Label : 27, Word : SHOW_ALL_WINDOWS, Percentage = 55.11%, RunTime : 0.0946sec
Time : 2022-03-15 17:26:52, Label : 14, Word : NEXT, Percentage = 83.85%, RunTime : 0.0897sec
Time : 2022-03-15 17:27:21, Label : 16, Word : PLAY, Percentage = 100.00%, RunTime : 0.1544sec
Time : 2022-03-15 17:27:29, Label : 18, Word : FAST_FORWARD, Percentage = 100.00%, RunTime : 0.0861sec
Time : 2022-03-15 17:27:36, Label : 18, Word : FAST_FORWARD, Percentage = 100.00%, RunTime : 0.1266sec
Time : 2022-03-15 17:29:12, Label : 18, Word : FAST_FORWARD, Percentage = 52.71%, RunTime : 0.0930sec
Time : 2022-03-15 17:29:17, Label : 23, Word : SMALL_SCREEN, Percentage = 99.85%, RunTime : 0.0874sec
Time : 2022-03-15 17:29:22, Label : 21, Word : VOLUME_UP, Percentage = 99.77%, RunTime : 0.1307sec
Time : 2022-03-15 17:29:26, Label : 21, Word : VOLUME_UP, Percentage = 100.00%, RunTime : 0.1052sec
Time : 2022-03-15 17:29:32, Label : 7, Word : BRIGHTEN, Percentage = 99.89%, RunTime : 0.0917sec
Time : 2022-03-15 17:29:36, Label : 23, Word : SMALL_SCREEN, Percentage = 100.00%, RunTime : 0.0775sec
Time : 2022-03-15 17:29:43, Label : 24, Word : FULL_SCREEN, Percentage = 100.00%, RunTime : 0.0912sec
Time : 2022-03-15 17:29:50, Label : 28, Word : PHONE, Percentage = 100.00%, RunTime : 0.1093sec
Time : 2022-03-15 17:29:56, Label : 0, Word : NONE, Percentage = 95.52%, RunTime : 0.0721sec
Time : 2022-03-15 17:30:01, Label : 28, Word : PHONE, Percentage = 41.36%, RunTime : 0.0919sec
Time : 2022-03-15 17:30:06, Label : 28, Word : PHONE, Percentage = 89.53%, RunTime : 0.0914sec
Time : 2022-03-15 17:30:13, Label : 29, Word : CALL, Percentage = 100.00%, RunTime : 0.1066sec
Time : 2022-03-15 17:30:21, Label : 28, Word : PHONE, Percentage = 100.00%, RunTime : 0.1299sec
Time : 2022-03-15 17:31:45, Label : 28, Word : PHONE, Percentage = 99.97%, RunTime : 0.1138sec
Time : 2022-03-15 17:31:50, Label : 28, Word : PHONE, Percentage = 100.00%, RunTime : 0.0897sec
Time : 2022-03-15 17:31:57, Label : 29, Word : CALL, Percentage = 100.00%, RunTime : 0.1391sec
Time : 2022-03-23 16:35:04, Label : 8, Word : VOICE_COMMANDS, Percentage = 100.00%, RunTime : 0.1407sec
Time : 2022-04-06 11:37:23, Label : 24, Word : FULL_SCREEN, Percentage = 65.49%, RunTime : 0.1252sec
Time : 2022-04-06 11:37:26, Label : 24, Word : FULL_SCREEN, Percentage = 68.52%, RunTime : 0.0846sec
Time : 2022-04-06 11:37:29, Label : 26, Word : FREEZE, Percentage = 72.35%, RunTime : 0.1279sec
Time : 2022-04-06 11:37:32, Label : 28, Word : PHONE, Percentage = 49.61%, RunTime : 0.1044sec
Time : 2022-04-06 11:38:15, Label : 28, Word : PHONE, Percentage = 81.88%, RunTime : 0.0948sec
Time : 2022-04-06 11:38:18, Label : 0, Word : NONE, Percentage = 89.52%, RunTime : 0.1215sec
Time : 2022-04-06 11:38:21, Label : 0, Word : NONE, Percentage = 94.78%, RunTime : 0.1003sec
Time : 2022-04-06 11:38:45, Label : 26, Word : FREEZE, Percentage = 86.54%, RunTime : 0.0846sec
Time : 2022-04-06 11:38:48, Label : 28, Word : PHONE, Percentage = 85.71%, RunTime : 0.1158sec
